,preds,preds_raw,label,genes
0,1,0.8791639475005523,1,ENSG00000099194
1,0,0.10918185650066199,1,ENSG00000068366
2,0,0.1996869070910653,1,ENSG00000099797
3,0,0.06765571085919778,0,ENSG00000084754 and ENSG00000138029 and ENSG00000167315
4,0,0.02754688460531185,0,ENSG00000110090
5,0,0.11210028848416485,0,ENSG00000101986
6,0,0.14164921536677183,0,ENSG00000060971 and ENSG00000113790 and ENSG00000133835
7,0,0.37681101692469265,0,ENSG00000169710
8,0,0.08767300851202738,0,ENSG00000084754 and ENSG00000113790 and ENSG00000127884
9,0,0.07973970792400806,0,ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721
10,1,0.5561268243368224,1,ENSG00000149084
11,0,0.024065630695310956,0,ENSG00000134824
12,0,0.02306871225445525,0,ENSG00000197375
13,0,0.11245695271587722,0,ENSG00000089597
14,0,0.25360849113529654,0,ENSG00000115275
15,1,0.9999998149861744,1,ENSG00000118705 and ENSG00000129562 and ENSG00000134910 and ENSG00000163902 and ENSG00000244038
16,0,0.3766382676342339,0,ENSG00000139133
17,0,0.22273638205778967,0,ENSG00000155380
18,1,0.5947363562849467,1,ENSG00000127125
19,1,0.6503691066370056,1,ENSG00000163344
20,1,0.9449669035499784,1,ENSG00000110921
21,0,0.03636306951305404,0,ENSG00000124370
22,1,0.9882631280357433,1,ENSG00000113161
23,0,0.025391045467736403,0,ENSG00000124767
24,1,0.6866520394728561,0,ENSG00000149313
25,0,0.18683964493177085,0,ENSG00000151093
26,0,0.0719129354431474,0,ENSG00000138814 and ENSG00000221823
27,0,0.2556992121513314,1,ENSG00000055609 and ENSG00000272333
28,0,0.08910957072951667,0,ENSG00000072062
29,0,0.06495830321636537,0,ENSG00000157326
30,0,0.47090691575982707,1,ENSG00000100714
31,0,0.03545685864898621,0,ENSG00000065911
32,1,0.5992639703624465,1,ENSG00000136877
33,0,0.04262174259559673,0,ENSG00000135437
34,0,0.06923376853101033,0,ENSG00000132196
35,1,0.7075757275386828,1,ENSG00000072506 and ENSG00000084754 and ENSG00000138796
36,0,0.20815331032500844,0,ENSG00000151151
37,0,0.19832136574116618,1,ENSG00000100605
38,0,0.025428078502337317,0,ENSG00000068383
39,0,0.34744397374993946,1,ENSG00000105655
40,0,0.045870642642180263,0,ENSG00000040933
41,0,0.2551449426026316,0,ENSG00000145725
42,1,0.9991202218666427,1,ENSG00000007168
43,1,0.763361212498496,0,ENSG00000078142
44,0,0.0153193881813483,0,ENSG00000131979
45,0,0.22099434785202957,1,ENSG00000119723
46,0,0.024836546063093858,0,ENSG00000083807
47,0,0.06520498912257,1,ENSG00000023330
48,0,0.008574707179502027,0,ENSG00000005381
49,0,0.10301645373433062,0,ENSG00000093010
50,1,0.6962882647781188,1,ENSG00000072506
51,0,0.009983563094917223,0,ENSG00000083123 and ENSG00000142046 and ENSG00000248098
52,0,0.018407152555758956,0,ENSG00000111716
53,0,0.07366213440789444,0,ENSG00000070614
54,0,0.03983430791145854,0,ENSG00000117528
55,1,0.7972521123685178,1,ENSG00000105953
56,1,0.5934151801044583,1,ENSG00000173085
57,0,0.19269958179949448,1,ENSG00000167186
58,0,0.021262990585804192,0,ENSG00000092621
59,0,0.14978853328687705,0,ENSG00000135069
60,0,0.12900304161471363,1,ENSG00000146701
61,0,0.023427833295599765,0,ENSG00000001630
