,preds,preds_raw,label,genes
0,0,0.19961651986077183,1,ENSG00000132155 and ENSG00000157764
1,0,0.013303844048026708,0,ENSG00000001630
2,0,0.12727689861109473,0,ENSG00000125454
3,0,0.06541518725637173,0,ENSG00000068366
4,0,0.01643762506632972,0,ENSG00000083807
5,0,0.031353116864181955,0,ENSG00000117308
6,0,0.012368513390407624,0,ENSG00000012779
7,0,0.07832054047310903,0,ENSG00000203857
8,0,0.24306359630027657,1,ENSG00000169710
9,0,0.020731903176636916,0,ENSG00000103064
10,0,0.05482201520682547,0,ENSG00000093010
11,1,0.6426545854308824,1,ENSG00000131473
12,0,0.24543579598411386,0,ENSG00000117143
13,0,0.01447113174404082,0,ENSG00000131979
14,0,0.128146632203723,0,ENSG00000155380
15,0,0.021317030337362392,0,ENSG00000068903
16,1,0.5628606225468664,1,ENSG00000072506 and ENSG00000084754 and ENSG00000138796
17,0,0.07921289871166794,0,ENSG00000060971 and ENSG00000113790 and ENSG00000133835
18,0,0.013118662034364842,0,ENSG00000196517
19,1,0.5510418191490368,0,ENSG00000074800
20,0,0.314835361458139,1,ENSG00000103257
21,0,0.10700526645646638,0,ENSG00000099797
22,1,0.9999536289370707,1,ENSG00000114902 and ENSG00000118363 and ENSG00000129128 and ENSG00000140612 and ENSG00000166562
23,0,0.16418617371815666,0,ENSG00000055609 and ENSG00000272333
24,0,0.04041566325225659,0,ENSG00000084754 and ENSG00000138029 and ENSG00000167315
25,0,0.01721701536161072,0,ENSG00000110090
26,0,0.03261723306086188,0,ENSG00000083123
27,0,0.31356555137785314,1,ENSG00000125166
28,0,0.1566271120091966,0,ENSG00000064763
29,1,1.0,1,ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848
30,1,0.8904384992351905,1,ENSG00000072274
31,0,0.05086146695485308,0,ENSG00000084754 and ENSG00000113790 and ENSG00000127884
32,0,0.08032884944426695,0,ENSG00000135069
33,0,0.013228433246891,0,ENSG00000150540
34,0,0.02216729357678465,0,ENSG00000176974
35,0,0.011112138762915696,0,ENSG00000065989
36,0,0.452942755854652,1,ENSG00000136877
37,0,0.04075516537988268,0,ENSG00000059573
38,0,0.24924991430404744,0,ENSG00000151348 and ENSG00000182197
39,1,0.9824557362082216,1,ENSG00000113161
40,0,0.018229244533862723,0,ENSG00000162066
41,0,0.4508159159511157,1,ENSG00000153574
42,0,0.3241463479246712,1,ENSG00000100714
43,0,0.13607633694382357,0,ENSG00000119723
44,0,0.08832950220774341,0,ENSG00000100075
45,0,0.03914365230891469,0,ENSG00000157326
46,0,0.32624020842521023,0,ENSG00000171903
47,0,0.15556857072942443,0,ENSG00000110958
48,0,0.40857675699713114,0,ENSG00000121897
49,0,0.1828520972964247,0,ENSG00000167130
50,1,0.5377877908366578,1,ENSG00000000419 and ENSG00000136908 and ENSG00000179085
51,0,0.02447378495501791,0,ENSG00000040933
52,0,0.43856171345898487,1,ENSG00000173085
53,0,0.010344889358957625,0,ENSG00000064601 and ENSG00000141012 and ENSG00000170266 and ENSG00000204386
54,0,0.018113690535867883,0,ENSG00000117592
55,1,0.9535758943242265,1,ENSG00000162368
56,1,0.5879016644813218,1,ENSG00000176890
57,0,0.026069066283584276,0,ENSG00000125877
58,0,0.016477114815916016,0,ENSG00000167900
59,1,0.964057501434496,1,ENSG00000168393
60,1,0.5818334932547965,1,ENSG00000035687
61,1,0.7674995344228349,1,ENSG00000178700
62,0,0.0834363254082978,0,ENSG00000106348
63,0,0.02586609832336145,0,ENSG00000178922
64,0,0.019789825579389686,0,ENSG00000065911
65,1,0.8497726279814426,1,ENSG00000142657
66,0,0.014997557663062181,0,ENSG00000139531
67,0,0.01539003747449701,0,ENSG00000082212
68,0,0.4462206963371356,1,ENSG00000084774
