,preds,preds_raw,label,genes
0,1,1.0,1,ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848
1,0,0.01718481142634331,0,ENSG00000110090
2,0,0.040167943629039624,0,ENSG00000084754 and ENSG00000138029 and ENSG00000167315
3,0,0.048015727648975916,0,ENSG00000084754 and ENSG00000113790 and ENSG00000127884
4,1,0.9788347569550049,1,ENSG00000113161
5,0,0.32504228975729244,1,ENSG00000100714
6,0,0.04402324174131809,0,ENSG00000059573
7,0,0.018263328544485806,0,ENSG00000162066
8,0,0.021062487985699343,0,ENSG00000176974
9,1,0.5593480602991004,0,ENSG00000072506 and ENSG00000084754 and ENSG00000138796
10,0,0.4591849837347072,1,ENSG00000153574
11,0,0.01530878508454633,0,ENSG00000104522
12,0,0.030836047768645004,0,ENSG00000117308
13,0,0.011949720814291877,0,ENSG00000156110
14,0,0.08695451837848484,0,ENSG00000060971 and ENSG00000113790 and ENSG00000133835
15,0,0.24651106567768097,0,ENSG00000117143
16,0,0.04710200500398277,0,ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721
17,0,0.05641215815973149,0,ENSG00000093010
18,0,0.011281879610236046,0,ENSG00000001630
19,0,0.1272948771165593,0,ENSG00000125454
20,0,0.014789039700331151,0,ENSG00000083807
21,0,0.24569073255966328,0,ENSG00000169710
22,0,0.01863948495405963,0,ENSG00000103064
23,1,0.6275530187045928,0,ENSG00000131473
24,0,0.016574535564707553,0,ENSG00000131979
25,1,0.9995814577893578,1,ENSG00000110619
26,0,0.020556248407301917,0,ENSG00000068903
27,0,0.014973765596199265,0,ENSG00000196517
28,1,0.5491950592797965,1,ENSG00000074800
29,0,0.12504068250941366,0,ENSG00000099797
30,1,0.9999554925264733,1,ENSG00000114902 and ENSG00000118363 and ENSG00000129128 and ENSG00000140612 and ENSG00000166562
31,0,0.15400912715784493,0,ENSG00000055609 and ENSG00000272333
32,0,0.1587109434140947,0,ENSG00000064763
33,0,0.30496862651435414,0,ENSG00000103257
34,0,0.24557057326789003,0,ENSG00000151348 and ENSG00000182197
35,0,0.08178366637721532,0,ENSG00000135069
36,0,0.012862351371301298,0,ENSG00000150540
37,0,0.4510150065600079,1,ENSG00000136877
38,0,0.33848428025016863,0,ENSG00000125166
39,0,0.15074764483467376,1,ENSG00000110958
40,0,0.03602213120018883,0,ENSG00000157326
41,0,0.08561094857654025,0,ENSG00000100075
42,0,0.02711663984522993,0,ENSG00000040933
43,0,0.008089602880511453,0,ENSG00000064601 and ENSG00000141012 and ENSG00000170266 and ENSG00000204386
44,0,0.4159604735614191,0,ENSG00000121897
45,0,0.4431596293710396,0,ENSG00000173085
46,1,0.5468246731149431,0,ENSG00000000419 and ENSG00000136908 and ENSG00000179085
47,0,0.18263435283165289,0,ENSG00000167130
48,0,0.017611770894422948,0,ENSG00000117592
49,1,0.9539721019205251,1,ENSG00000162368
50,1,0.5977568580172311,1,ENSG00000176890
51,0,0.02746034715956193,0,ENSG00000125877
52,0,0.012733787709469814,0,ENSG00000167900
53,1,0.9598481338696726,1,ENSG00000168393
54,1,0.5828946283114143,1,ENSG00000035687
55,0,0.08988408153466729,0,ENSG00000106348
56,0,0.025225127865707134,0,ENSG00000178922
57,0,0.017693205633020966,0,ENSG00000065911
58,1,0.8491194598081936,1,ENSG00000142657
59,0,0.02532072072837629,0,ENSG00000116096
60,0,0.017389543842038117,0,ENSG00000139531
61,0,0.015377641543071514,0,ENSG00000082212
62,0,0.4472840287877556,1,ENSG00000084774
63,1,0.9782201078001099,1,ENSG00000143774
64,0,0.015801096379907304,0,ENSG00000100092
65,0,0.03770042256469961,1,ENSG00000116649
66,0,0.07992503946036053,0,ENSG00000146701
