"id","cell"
"ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848","7316_158_S"
"ENSG00000067225","7316_158_S"
"ENSG00000162368","7316_158_S"
"ENSG00000113456 and ENSG00000172613","7316_158_S"
"ENSG00000173614","7316_158_S"
"ENSG00000125458","7316_158_S"
"ENSG00000100299","7316_158_S"
"ENSG00000143774","7316_158_S"
"ENSG00000109107","7316_158_S"
"ENSG00000132570","7316_158_S"
"ENSG00000176890","7316_158_S"
"ENSG00000178700","7316_158_S"
"ENSG00000119689","7316_158_S"
"ENSG00000067064","7316_158_S"
"ENSG00000152904","7316_158_S"
"ENSG00000115350 and ENSG00000148229","7316_158_S"
"ENSG00000120697","7316_158_S"
"ENSG00000175283","7316_158_S"
"ENSG00000060642","7316_158_S"
"ENSG00000086848","7316_158_S"
"ENSG00000182858","7316_158_S"
"ENSG00000159063","7316_158_S"
"ENSG00000167130","7316_158_S"
"ENSG00000069943","7316_158_S"
"ENSG00000000419 and ENSG00000136908 and ENSG00000179085","7316_158_S"
"ENSG00000088035","7316_158_S"
"ENSG00000128951","7316_158_S"
"ENSG00000125877","7316_158_S"
"ENSG00000087111 and ENSG00000101464 and ENSG00000124155 and ENSG00000142892 and ENSG00000197858","7316_158_S"
"ENSG00000138363","7316_158_S"
"ENSG00000147454","7316_158_S"
"ENSG00000090857","7316_158_S"
"ENSG00000173638","7316_158_S"
"ENSG00000197894","7316_158_S"
"ENSG00000105220","7316_158_S"
"ENSG00000091483","7316_158_S"
"ENSG00000071073","7316_158_S"
"ENSG00000253710","7316_158_S"
"ENSG00000176022","7316_158_S"
"ENSG00000027847","7316_158_S"
"ENSG00000111669","7316_158_S"
"ENSG00000008513","7316_158_S"
"ENSG00000181830","7316_158_S"
"ENSG00000160211","7316_158_S"
"ENSG00000117394","7316_158_S"
"ENSG00000277161","7316_158_S"
"ENSG00000162688","7316_158_S"
"ENSG00000148154","7316_158_S"
"ENSG00000115652","7316_158_S"
"ENSG00000172890","7316_158_S"
"ENSG00000163655","7316_158_S"
