ModelConditionID,ModelID,ParentModelConditionID,CellFormat,PassageNumber,GrowthMedia,FormulationID,PlateCoating
MC-000753-DxZw,ACH-000753,,adherent,,MF-001-003,RPMI + 10% FBS + 2mM Glutamine,None
MC-000754-IW8e,ACH-000754,,suspension,,MF-001-001,RPMI + 10% FBS,None
MC-000754-MToB,ACH-000754,,suspension,,,,None
MC-000755-61n7,ACH-000755,,suspension,,,,None
MC-000755-mhTL,ACH-000755,,suspension,,MF-001-001,RPMI + 10% FBS,None
MC-000756-tsfC,ACH-000756,,adherent,,MF-002-001,DMEM + 10% FBS,None
MC-000756-WQaB,ACH-000756,,adherent,,,,None
MC-000757-en8T,ACH-000757,,adherent,,MF-002-001,DMEM + 10% FBS,None
MC-000757-hFFN,ACH-000757,,adherent,,,,None
MC-000758-1YGh,ACH-000758,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000759-jMff,ACH-000759,,adherent,,,,None
MC-000759-L1aL,ACH-000759,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000760-gvbr,ACH-000760,,adherent,,MF-002-001,DMEM + 10% FBS,None
MC-000761-5VXC,ACH-000761,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000762-wXHU,ACH-000762,,monolayer,,MF-001-001,RPMI + 10% FBS,None
MC-000763-Lfpn,ACH-000763,,mixed,,MF-001-001,RPMI + 10% FBS,None
MC-000763-qyI3,ACH-000763,,mixed,,,,None
MC-000764-6dKs,ACH-000764,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000765-PMrH,ACH-000765,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000766-25bR,ACH-000766,,mixed,,,,None
MC-000766-RtCU,ACH-000766,,mixed,,MF-001-001,RPMI + 10% FBS,None
MC-000767-6ebV,ACH-000767,,suspension,,,,None
MC-000767-kxY9,ACH-000767,,suspension,,MF-001-001,RPMI + 10% FBS,None
MC-000768-F0F5,ACH-000768,,adherent,,,,None
MC-000768-FLBy,ACH-000768,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000769-9wUy,ACH-000769,,adherent,,,,None
MC-000769-HyNe,ACH-000769,,adherent,,MF-002-001,DMEM + 10% FBS,None
MC-000770-CUBM,ACH-000770,,suspension,,,,None
MC-000770-fBLS,ACH-000770,,suspension,,MF-001-001,RPMI + 10% FBS,None
MC-000771-lGmR,ACH-000771,,adherent,,MF-002-004,DMEM + 10% FBS + 2mM Glutamine + 0.4ug/ml Hydrocortisone,None
MC-000772-kfM3,ACH-000772,,mixed,,,,None
MC-000772-ox5U,ACH-000772,,mixed,,MF-002-001,DMEM + 10% FBS,None
MC-000773-FFsq,ACH-000773,,suspension,,MF-001-020,RPMI + 20% FBS,None
MC-000774-GTYc,ACH-000774,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000775-1AL8,ACH-000775,,adherent,,,,None
MC-000775-vJB4,ACH-000775,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000776-SLwx,ACH-000776,,adherent,,,,None
MC-000776-YERh,ACH-000776,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000777-ezmQ,ACH-000777,,adherent,,,,None
MC-000778-Bi9Z,ACH-000778,,adherent,,,,None
MC-000778-yyI9,ACH-000778,,adherent,,MF-006-001,MEM + 10% FBS,None
MC-000779-V0JR,ACH-000779,,adherent,,,,None
MC-000780-3uGU,ACH-000780,,suspension,,,,None
MC-000780-jx6G,ACH-000780,,suspension,,,,None
MC-000781-EprM,ACH-000781,,adherent,,,,None
MC-000781-G5rR,ACH-000781,,adherent,,MF-007-010,DMEM:F12 + 5% FBS + 2mM Glutamine + 5ug/ml Insulin + 10ug/ml Transferrin + 30nM Selenium + 10nM Hydrocortisone + 10nM Beta estradiol,None
MC-000782-Doeq,ACH-000782,,suspension,,MF-005-001,IMDM + 10% FBS,None
MC-000783-PITO,ACH-000783,,adherent,,,,None
MC-000783-QiYu,ACH-000783,,adherent,,MF-006-001,MEM + 10% FBS,None
MC-000784-8ktU,ACH-000784,,monolayer,,MF-001-001,RPMI + 10% FBS,None
MC-000784-ayo7,ACH-000784,,monolayer,,,,None
MC-000785-IXI3,ACH-000785,,adherent,,MF-007-010,DMEM:F12 + 5% FBS + 2mM Glutamine + 5ug/ml Insulin + 10ug/ml Transferrin + 30nM Selenium + 10nM Hydrocortisone + 10nM Beta estradiol,None
MC-000785-K3As,ACH-000785,,adherent,,,,None
MC-000786-CERh,ACH-000786,,suspension,,,,None
MC-000786-QNPT,ACH-000786,,suspension,,MF-001-001,RPMI + 10% FBS,None
MC-000787-eQaU,ACH-000787,,monolayer,,,,None
MC-000787-yzmP,ACH-000787,,monolayer,,MF-004-001,F12 + 10% FBS,None
MC-000788-UK2d,ACH-000788,,adherent,,,,None
MC-000788-xvTl,ACH-000788,,adherent,,MF-002-001,DMEM + 10% FBS,None
MC-000789-b1IU,ACH-000789,,adherent,,,,None
MC-000789-RFW6,ACH-000789,,,,,,None
MC-000790-qr1i,ACH-000790,,mixed,,,,None
MC-000790-zhzx,ACH-000790,,mixed,,MF-001-001,RPMI + 10% FBS,None
MC-000791-hZfp,ACH-000791,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000792-uVJM,ACH-000792,,monolayer,,,,None
MC-000792-V2Ue,ACH-000792,,monolayer,,MF-002-001,DMEM + 10% FBS,None
MC-000793-0iSa,ACH-000793,,mixed,,MF-005-004,IMDM + 20% FBS,None
MC-000793-rJhp,ACH-000793,,mixed,,,,None
MC-000794-a6tw,ACH-000794,,adherent,,,,None
MC-000794-TjgT,ACH-000794,,adherent,,MF-002-004,DMEM + 10% FBS + 2mM Glutamine + 0.4ug/ml Hydrocortisone,None
MC-000795-PEoZ,ACH-000795,,suspension,,,,None
MC-000796-MvBN,ACH-000796,,adherent,,,,None
MC-000796-nwaZ,ACH-000796,,,,,,None
MC-000797-l7Rz,ACH-000797,,adherent,,MF-015-001,EMEM + 10% FBS,None
MC-000798-g7mg,ACH-000798,,monolayer,,,,None
MC-000798-O7D5,ACH-000798,,monolayer,,MF-007-019,DMEM:F12 + 20% FBS,None
MC-000799-Fdo9,ACH-000799,,adherent,,MF-006-001,MEM + 10% FBS,None
MC-000800-GRpv,ACH-000800,,mixed,,,,None
MC-000800-vISL,ACH-000800,,mixed,,MF-001-001,RPMI + 10% FBS,None
MC-000801-OlRe,ACH-000801,,adherent,,MF-002-001,DMEM + 10% FBS,None
