"id","cell"
"ENSG00000000419 and ENSG00000136908 and ENSG00000179085","ACH-000002"
"ENSG00000159063","ACH-000002"
"ENSG00000088035","ACH-000002"
"ENSG00000167130","ACH-000002"
"ENSG00000069943","ACH-000002"
"ENSG00000128951","ACH-000002"
"ENSG00000125877","ACH-000002"
"ENSG00000087111 and ENSG00000101464 and ENSG00000124155 and ENSG00000142892 and ENSG00000197858","ACH-000002"
"ENSG00000138363","ACH-000002"
"ENSG00000147454","ACH-000002"
"ENSG00000173638","ACH-000002"
"ENSG00000197894","ACH-000002"
"ENSG00000105220","ACH-000002"
"ENSG00000091483","ACH-000002"
"ENSG00000071073","ACH-000002"
"ENSG00000253710","ACH-000002"
"ENSG00000176022","ACH-000002"
"ENSG00000027847","ACH-000002"
"ENSG00000111669","ACH-000002"
"ENSG00000008513","ACH-000002"
"ENSG00000104522","ACH-000002"
"ENSG00000181830","ACH-000002"
"ENSG00000160211","ACH-000002"
"ENSG00000117394","ACH-000002"
"ENSG00000277161","ACH-000002"
"ENSG00000162688","ACH-000002"
"ENSG00000148154","ACH-000002"
"ENSG00000115652","ACH-000002"
"ENSG00000172890","ACH-000002"
"ENSG00000163655","ACH-000002"
"ENSG00000115419","ACH-000002"
"ENSG00000177542","ACH-000002"
"ENSG00000091140 and ENSG00000105953 and ENSG00000119689","ACH-000002"
"ENSG00000111371","ACH-000002"
"ENSG00000144659","ACH-000002"
"ENSG00000106105","ACH-000002"
"ENSG00000108784","ACH-000002"
"ENSG00000012232","ACH-000002"
"ENSG00000153936","ACH-000002"
"ENSG00000064763","ACH-000002"
"ENSG00000134294","ACH-000002"
"ENSG00000112972","ACH-000002"
"ENSG00000256269","ACH-000002"
"ENSG00000090861","ACH-000002"
"ENSG00000160285","ACH-000002"
"ENSG00000113643","ACH-000002"
"ENSG00000134440","ACH-000002"
"ENSG00000115866","ACH-000002"
"ENSG00000178537","ACH-000002"
"ENSG00000110619","ACH-000002"
"ENSG00000103257 and ENSG00000168003","ACH-000002"
"ENSG00000172053","ACH-000002"
