,preds,preds_raw,gene_name,cell
221,0.0,0.0010756237,ENSG00000105221,7316_158_S
223,0.0,0.0011809529,ENSG00000105613,7316_158_S
224,0.0,0.13506871,ENSG00000105810,7316_158_S
229,0.0,0.028605415,ENSG00000107779,7316_158_S
231,0.0,0.01318669,ENSG00000108443,7316_158_S
232,0.0,0.10923884,ENSG00000108946,7316_158_S
236,0.0,0.0008917536,ENSG00000110931,7316_158_S
237,0.0,0.0073564844,ENSG00000112062,7316_158_S
239,0.0,0.2751477,ENSG00000112739,7316_158_S
240,0.0,0.49457678,ENSG00000112742,7316_158_S
242,0.0,0.14585826,ENSG00000113712,7316_158_S
243,0.0,0.0028428908,ENSG00000114302,7316_158_S
258,0.0,0.001355452,ENSG00000117676,7316_158_S
259,0.0,0.020899558,ENSG00000118046,7316_158_S
260,0.0,0.0010366855,ENSG00000118515,7316_158_S
263,1.0,0.7827421,ENSG00000120539,7316_158_S
264,0.0,0.0010833333,ENSG00000121989,7316_158_S
265,0.0,0.096324794,ENSG00000122966,7316_158_S
267,0.0,0.2565813,ENSG00000123374,7316_158_S
269,1.0,0.6502657,ENSG00000124784,7316_158_S
270,0.0,0.19294718,ENSG00000125651,7316_158_S
271,0.0,0.0012087909,ENSG00000125834,7316_158_S
272,0.0,0.0011805688,ENSG00000126562,7316_158_S
273,0.0,0.0014053488,ENSG00000126934,7316_158_S
275,0.0,0.32116723,ENSG00000127564,7316_158_S
276,0.0,0.011395131,ENSG00000128829,7316_158_S
277,0.0,0.0054712226,ENSG00000130175,7316_158_S
279,0.0,0.0011533102,ENSG00000130669,7316_158_S
283,0.0,0.0014516949,ENSG00000132356,7316_158_S
287,1.0,0.88029367,ENSG00000134058,7316_158_S
290,0.0,0.0011465887,ENSG00000134318,7316_158_S
294,0.0,0.0011555965,ENSG00000135250,7316_158_S
295,0.0,0.025435623,ENSG00000135341,7316_158_S
296,0.0,0.24393295,ENSG00000135446,7316_158_S
297,0.0,0.0056132744,ENSG00000135503,7316_158_S
300,1.0,0.82258826,ENSG00000136807,7316_158_S
301,0.0,0.0014015184,ENSG00000137193,7316_158_S
303,0.0,0.003372869,ENSG00000137601,7316_158_S
311,0.0,0.488429,ENSG00000140992,7316_158_S
313,0.0,0.001262716,ENSG00000141551,7316_158_S
315,0.0,0.0015923756,ENSG00000142208,7316_158_S
316,0.0,0.31658074,ENSG00000142731,7316_158_S
325,0.0,0.25608084,ENSG00000146872,7316_158_S
327,0.0,0.19130015,ENSG00000147133,7316_158_S
328,0.0,0.0011686794,ENSG00000148660,7316_158_S
329,0.0,0.0011939389,ENSG00000149269,7316_158_S
330,0.0,0.0007132571,ENSG00000149311,7316_158_S
331,1.0,0.8863505,ENSG00000149554,7316_158_S
344,0.0,0.49516323,ENSG00000156970,7316_158_S
345,1.0,0.65111977,ENSG00000157106,7316_158_S
346,0.0,0.007522452,ENSG00000157540,7316_158_S
353,0.0,0.0013141155,ENSG00000160584,7316_158_S
355,0.0,0.0011322254,ENSG00000162302,7316_158_S
358,0.0,0.0042172396,ENSG00000163349,7316_158_S
361,0.0,0.0018663779,ENSG00000163558,7316_158_S
