cell,cell_index
ACH-000002,0
ACH-000004,1
ACH-000006,2
ACH-000045,3
ACH-000074,4
ACH-000146,5
ACH-000168,6
ACH-000301,7
ACH-000362,8
ACH-000386,9
ACH-000432,10
ACH-000551,11
ACH-000983,12
ACH-001647,13
