,preds,preds_raw,gene_name,cell
208,1.0,0.53806704,ENSG00000125651,ACH-000002
209,0.0,0.04070542,ENSG00000125834,ACH-000002
210,0.0,0.06164268,ENSG00000126934,ACH-000002
212,1.0,0.7403796,ENSG00000127564,ACH-000002
213,0.0,0.06203994,ENSG00000128829,ACH-000002
214,0.0,0.042064242,ENSG00000129465,ACH-000002
215,0.0,0.05510418,ENSG00000130175,ACH-000002
217,0.0,0.025354944,ENSG00000130669,ACH-000002
220,0.0,0.061881248,ENSG00000132356,ACH-000002
223,1.0,0.9740371,ENSG00000134058,ACH-000002
225,0.0,0.03399948,ENSG00000134318,ACH-000002
228,0.0,0.042912457,ENSG00000135250,ACH-000002
229,0.0,0.062020127,ENSG00000135341,ACH-000002
230,0.0,0.42540103,ENSG00000135446,ACH-000002
231,0.0,0.04992012,ENSG00000135503,ACH-000002
234,1.0,0.95118177,ENSG00000136807,ACH-000002
235,0.0,0.061961085,ENSG00000137193,ACH-000002
237,0.0,0.061030712,ENSG00000137601,ACH-000002
241,1.0,0.67600304,ENSG00000140992,ACH-000002
243,0.0,0.042177875,ENSG00000141551,ACH-000002
244,0.0,0.05991958,ENSG00000142208,ACH-000002
245,1.0,0.5872815,ENSG00000142731,ACH-000002
249,1.0,0.502156,ENSG00000146872,ACH-000002
250,1.0,0.6692583,ENSG00000147133,ACH-000002
251,0.0,0.04336644,ENSG00000148660,ACH-000002
252,0.0,0.02134055,ENSG00000149269,ACH-000002
253,0.0,0.012151354,ENSG00000149311,ACH-000002
254,1.0,0.9739405,ENSG00000149554,ACH-000002
263,1.0,0.69506747,ENSG00000156970,ACH-000002
264,1.0,0.8078624,ENSG00000157106,ACH-000002
265,0.0,0.09534365,ENSG00000157540,ACH-000002
270,0.0,0.06184199,ENSG00000160584,ACH-000002
272,0.0,0.022857856,ENSG00000162302,ACH-000002
274,0.0,0.061975624,ENSG00000163349,ACH-000002
276,0.0,0.062008895,ENSG00000163558,ACH-000002
282,0.0,0.011314036,ENSG00000165304,ACH-000002
284,0.0,0.06308804,ENSG00000166333,ACH-000002
285,1.0,0.942567,ENSG00000166483,ACH-000002
288,1.0,0.97533065,ENSG00000166851,ACH-000002
289,0.0,0.096095964,ENSG00000167258,ACH-000002
292,0.0,0.022965265,ENSG00000168067,ACH-000002
295,0.0,0.055213597,ENSG00000169032,ACH-000002
297,1.0,0.51188135,ENSG00000169679,ACH-000002
299,0.0,0.025717333,ENSG00000170145,ACH-000002
300,1.0,0.97248363,ENSG00000170312,ACH-000002
301,0.0,0.02508749,ENSG00000172071,ACH-000002
302,1.0,0.6335727,ENSG00000172315,ACH-000002
303,0.0,0.030339055,ENSG00000172939,ACH-000002
304,0.0,0.062024057,ENSG00000173327,ACH-000002
306,1.0,0.8740362,ENSG00000175054,ACH-000002
308,0.0,0.23307972,ENSG00000176444,ACH-000002
312,0.0,0.20241651,ENSG00000178950,ACH-000002
313,1.0,0.9735029,ENSG00000178999,ACH-000002
315,0.0,0.062123664,ENSG00000180370,ACH-000002
321,0.0,0.0341751,ENSG00000185324,ACH-000002
322,0.0,0.061823193,ENSG00000186716,ACH-000002
325,0.0,0.18602164,ENSG00000196455,ACH-000002
329,0.0,0.041332442,ENSG00000198586,ACH-000002
330,0.0,0.052853,ENSG00000198648,ACH-000002
333,1.0,0.698029,ENSG00000204435,ACH-000002
343,0.0,0.0913353,ENSG00000126934 and ENSG00000169032,ACH-000002
348,0.0,0.102857605,ENSG00000077782,ACH-000002
349,0.0,0.10622752,ENSG00000092445,ACH-000002
350,0.0,0.09276418,ENSG00000096968,ACH-000002
351,0.0,0.09282508,ENSG00000097007,ACH-000002
353,0.0,0.09157597,ENSG00000103653,ACH-000002
356,0.0,0.0964844,ENSG00000122025,ACH-000002
358,0.0,0.09590112,ENSG00000140443,ACH-000002
360,0.0,0.09291618,ENSG00000157404,ACH-000002
361,0.0,0.09239392,ENSG00000162434,ACH-000002
371,1.0,0.51934177,ENSG00000121897,ACH-000002
372,0.0,0.25271252,ENSG00000055609 and ENSG00000272333,ACH-000002
373,1.0,0.9785865,ENSG00000114902 and ENSG00000118363 and ENSG00000129128 and ENSG00000140612 and ENSG00000166562,ACH-000002
374,0.0,0.32846564,ENSG00000055609 and ENSG00000167548,ACH-000002
375,0.0,0.035059787,ENSG00000005483,ACH-000002
376,1.0,0.92943007,ENSG00000099381,ACH-000002
378,0.0,0.25272232,ENSG00000104885,ACH-000002
379,0.0,0.034669686,ENSG00000109685,ACH-000002
380,0.0,0.3266153,ENSG00000110066,ACH-000002
381,0.0,0.035516422,ENSG00000116539,ACH-000002
382,0.0,0.32230878,ENSG00000118058,ACH-000002
384,0.0,0.03729142,ENSG00000136169,ACH-000002
385,0.0,0.17945689,ENSG00000139718,ACH-000002
386,1.0,0.52518797,ENSG00000143379,ACH-000002
389,0.0,0.03485088,ENSG00000165671,ACH-000002
391,0.0,0.07839108,ENSG00000181090,ACH-000002
392,0.0,0.3288593,ENSG00000181555,ACH-000002
393,1.0,0.88700175,ENSG00000183955,ACH-000002
395,1.0,0.57020015,ENSG00000204371,ACH-000002
396,0.0,0.25274825,ENSG00000106462,ACH-000002
399,1.0,0.520198,ENSG00000076201,ACH-000002
402,0.0,0.028193336,ENSG00000081721,ACH-000002
403,0.0,0.02813849,ENSG00000084112,ACH-000002
407,0.0,0.063052535,ENSG00000101224,ACH-000002
408,0.0,0.029147074,ENSG00000108861,ACH-000002
409,1.0,0.51658255,ENSG00000110536,ACH-000002
412,0.0,0.082874104,ENSG00000112245,ACH-000002
414,0.0,0.09041141,ENSG00000112679,ACH-000002
422,0.0,0.027912706,ENSG00000141298,ACH-000002
425,0.0,0.110075176,ENSG00000143851,ACH-000002
433,0.0,0.12596008,ENSG00000164045,ACH-000002
438,1.0,0.5205705,ENSG00000179295,ACH-000002
439,0.0,0.48513886,ENSG00000184007,ACH-000002
442,0.0,0.06560237,ENSG00000196396,ACH-000002
450,0.0,0.11390725,ENSG00000111684,ACH-000002
456,0.0,0.25060654,ENSG00000134255,ACH-000002
462,0.0,0.025029778,ENSG00000138018,ACH-000002
465,0.0,0.025414549,ENSG00000168000,ACH-000002
471,0.0,0.06362346,ENSG00000077044,ACH-000002
479,1.0,0.7060492,ENSG00000102144,ACH-000002
484,0.0,0.011441637,ENSG00000157326,ACH-000002
488,0.0,0.026926562,ENSG00000084754,ACH-000002
490,0.0,0.017865917,ENSG00000127884,ACH-000002
491,0.0,0.051477153,ENSG00000133835,ACH-000002
495,1.0,0.5909763,ENSG00000100714,ACH-000002
496,1.0,0.67035884,ENSG00000138363,ACH-000002
497,1.0,0.64863706,ENSG00000136877,ACH-000002
498,1.0,0.55528194,ENSG00000159131,ACH-000002
499,0.0,0.082321085,ENSG00000065911,ACH-000002
501,0.0,0.08365841,ENSG00000163738,ACH-000002
504,0.0,0.004289281,ENSG00000117592,ACH-000002
505,1.0,0.7885153,ENSG00000167468,ACH-000002
508,0.0,0.010842939,ENSG00000135437,ACH-000002
510,0.0,0.05999416,ENSG00000052802,ACH-000002
513,0.0,0.0065598884,ENSG00000121039,ACH-000002
515,0.0,0.07660025,ENSG00000159692,ACH-000002
518,0.0,0.08830741,ENSG00000197894,ACH-000002
522,0.0,0.05994717,ENSG00000132196,ACH-000002
533,0.0,0.088127896,ENSG00000100997,ACH-000002
534,0.0,0.11803572,ENSG00000011009,ACH-000002
539,0.0,0.043539952,ENSG00000120992,ACH-000002
540,0.0,0.019246131,ENSG00000135241,ACH-000002
544,0.0,0.25055116,ENSG00000100605,ACH-000002
545,1.0,0.54626805,ENSG00000127080,ACH-000002
546,0.0,0.18347938,ENSG00000151151,ACH-000002
549,0.0,0.021924917,ENSG00000068383,ACH-000002
550,0.0,0.04765512,ENSG00000132376,ACH-000002
553,0.0,0.022495165,ENSG00000040933,ACH-000002
557,0.0,0.0765582,ENSG00000145725,ACH-000002
560,1.0,0.9597014,ENSG00000007168,ACH-000002
561,0.0,0.03908394,ENSG00000171862,ACH-000002
562,1.0,0.639189,ENSG00000143398,ACH-000002
564,1.0,0.5211063,ENSG00000078142,ACH-000002
569,0.0,0.21042621,ENSG00000141506,ACH-000002
578,0.0,0.04005032,ENSG00000112367,ACH-000002
579,0.0,0.095556706,ENSG00000125458,ACH-000002
580,0.0,0.21176928,ENSG00000137770,ACH-000002
581,0.0,0.05960331,ENSG00000139505,ACH-000002
585,1.0,0.6386202,ENSG00000165688,ACH-000002
589,1.0,0.640095,ENSG00000211456,ACH-000002
596,0.0,0.004393746,ENSG00000123739,ACH-000002
604,0.0,0.024089213,ENSG00000143149,ACH-000002
605,0.0,0.02486628,ENSG00000119723,ACH-000002
608,0.0,0.07249278,ENSG00000001630,ACH-000002
609,0.0,0.025543034,ENSG00000083807,ACH-000002
613,0.0,0.19110869,ENSG00000023330,ACH-000002
615,0.0,0.0026164001,ENSG00000023697,ACH-000002
617,0.0,0.0140177095,ENSG00000111716,ACH-000002
618,0.0,0.010198176,ENSG00000151116,ACH-000002
619,0.0,0.004421127,ENSG00000005381,ACH-000002
620,0.0,0.004421123,ENSG00000093010,ACH-000002
622,0.0,0.0042905523,ENSG00000167419,ACH-000002
623,0.0,0.27395555,ENSG00000110871,ACH-000002
624,0.0,0.034679696,ENSG00000083123 and ENSG00000142046 and ENSG00000248098,ACH-000002
628,1.0,0.63026214,ENSG00000091140 and ENSG00000105953 and ENSG00000119689,ACH-000002
629,1.0,0.64564514,ENSG00000105953,ACH-000002
634,0.0,0.45316947,ENSG00000074800,ACH-000002
636,0.0,0.019761568,ENSG00000070614,ACH-000002
637,1.0,0.5059697,ENSG00000136720,ACH-000002
638,0.0,0.05203056,ENSG00000153936,ACH-000002
640,0.0,0.114000164,ENSG00000132423,ACH-000002
