,preds,preds_raw,label,genes
0,1,0.8343658608980717,1,ENSG00000099194
1,0,0.09269392545104967,0,ENSG00000068366
2,0,0.1568895376919652,0,ENSG00000099797
3,0,0.05172147303208368,0,ENSG00000084754 and ENSG00000138029 and ENSG00000167315
4,0,0.021742763802303142,0,ENSG00000110090
5,0,0.07959755699135475,0,ENSG00000101986
6,0,0.10891429722332599,0,ENSG00000060971 and ENSG00000113790 and ENSG00000133835
7,0,0.3078999233707763,0,ENSG00000169710
8,0,0.06375466952017728,0,ENSG00000084754 and ENSG00000113790 and ENSG00000127884
9,0,0.06055857291143254,0,ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721
10,0,0.4736818761960652,0,ENSG00000149084
11,0,0.01515332850876205,0,ENSG00000012779
12,0,0.020919686914727627,0,ENSG00000134824
13,0,0.01633358058769072,0,ENSG00000197375
14,0,0.07711390061300155,1,ENSG00000089597
15,0,0.1882372411183092,0,ENSG00000115275
16,1,0.9999999871945421,1,ENSG00000118705 and ENSG00000129562 and ENSG00000134910 and ENSG00000163902 and ENSG00000244038
17,0,0.2871461032055936,0,ENSG00000139133
18,0,0.16755461835314497,0,ENSG00000155380
19,1,0.5310798999598302,0,ENSG00000127125
20,1,0.5646988286769974,1,ENSG00000163344
21,1,0.9263061179578891,1,ENSG00000110921
22,0,0.015388159640087398,0,ENSG00000124370
23,1,0.9865600884381008,1,ENSG00000113161
24,0,0.014754773598912,0,ENSG00000124767
25,1,0.572872573306722,0,ENSG00000149313
26,0,0.13879118031683146,0,ENSG00000151093
27,0,0.04786677493960012,0,ENSG00000138814 and ENSG00000221823
28,0,0.19227431629658365,0,ENSG00000055609 and ENSG00000272333
29,0,0.05212655394304204,0,ENSG00000072062
30,0,0.04996942995568421,0,ENSG00000157326
31,0,0.3925636345382772,1,ENSG00000100714
32,0,0.022595139529537827,0,ENSG00000065911
33,1,0.5078107368363695,1,ENSG00000136877
34,0,0.04796912809454184,0,ENSG00000132196
35,1,0.6228178706965926,0,ENSG00000072506 and ENSG00000084754 and ENSG00000138796
36,0,0.1631019249133284,0,ENSG00000151151
37,0,0.16351474083955,0,ENSG00000100605
38,0,0.01729039762974525,0,ENSG00000068383
39,0,0.2750649075681614,1,ENSG00000105655
40,0,0.030767134310716586,0,ENSG00000040933
41,0,0.18806496682221513,0,ENSG00000145725
42,1,0.9989487434367379,1,ENSG00000007168
43,1,0.6699184765435874,0,ENSG00000078142
44,0,0.021134289003181594,0,ENSG00000131979
45,0,0.16748695809412453,0,ENSG00000119723
46,0,0.021084072149013335,0,ENSG00000083807
47,0,0.056613570259618905,0,ENSG00000023330
48,0,0.07011045682874495,0,ENSG00000093010
49,1,0.6128759098791782,0,ENSG00000072506
50,0,0.013985646472123787,0,ENSG00000083123 and ENSG00000142046 and ENSG00000248098
51,0,0.010511624641768004,0,ENSG00000111716
52,0,0.049305071425771375,0,ENSG00000070614
53,0,0.026160509278426638,0,ENSG00000117528
54,1,0.7373549085565858,1,ENSG00000105953
55,1,0.5097370918935153,1,ENSG00000173085
56,0,0.16724621596091988,0,ENSG00000167186
57,0,0.015161032865762316,0,ENSG00000092621
58,0,0.11194243552708942,0,ENSG00000135069
59,0,0.09541555834155538,0,ENSG00000146701
60,0,0.0164030895042148,0,ENSG00000001630
61,0,0.031229185801852837,0,ENSG00000052802
62,0,0.022428489032682616,0,ENSG00000143149
63,0,0.046208346795971016,0,ENSG00000182199
64,0,0.02677549968661828,0,ENSG00000176974
65,0,0.09706020421446353,0,ENSG00000128039
66,0,0.016266326987165153,0,ENSG00000150540
67,0,0.05657423443335499,0,ENSG00000116649
68,0,0.4255746148903491,0,ENSG00000102172
69,1,0.6190247051143426,1,ENSG00000128059
70,0,0.40101339308918305,1,ENSG00000178921
71,0,0.21594438776134128,0,ENSG00000110871
72,0,0.018772170723795067,0,ENSG00000099377
73,0,0.047470450087813754,0,ENSG00000109929
74,0,0.010762622885243118,0,ENSG00000023697
75,0,0.024528964681856,0,ENSG00000068903
76,0,0.024408684757108008,0,ENSG00000162066
77,0,0.033868111005941344,0,ENSG00000117305
78,1,0.7003207767610311,0,ENSG00000131473
79,0,0.11849605538945812,0,ENSG00000169359
80,0,0.3904577606906397,1,ENSG00000091140 and ENSG00000131828 and ENSG00000150768 and ENSG00000168291
81,0,0.033371222993358624,0,ENSG00000198931
82,1,0.8538527468925049,1,ENSG00000101444
83,1,0.8199595431259287,1,ENSG00000167508
84,0,0.015299048800368411,0,ENSG00000156110
85,0,0.1529410668748358,1,ENSG00000125454
86,0,0.14556915949703725,0,ENSG00000106799 and ENSG00000163513
87,0,0.47718030889634977,1,ENSG00000159131
88,0,0.06625142302978491,0,ENSG00000033627
89,0,0.021374172142331324,0,ENSG00000167900
90,0,0.044020580095232395,0,ENSG00000114268
91,0,0.09369536575962378,0,ENSG00000001084 and ENSG00000023909
92,0,0.016711400137064732,0,ENSG00000067057
93,0,0.3155821256738651,0,ENSG00000121879 and ENSG00000145675
94,1,0.5773334092199869,1,ENSG00000128050
95,0,0.014217481499941604,0,ENSG00000160209
96,0,0.012757037442949105,0,ENSG00000159921
97,1,0.7161325200031929,0,ENSG00000068120
98,1,0.522207011469036,1,ENSG00000084774
99,0,0.41312870099772586,0,ENSG00000135002
100,0,0.384168609022643,1,ENSG00000127080
101,1,0.847789221181462,1,ENSG00000005022
102,1,0.9696401703760505,1,ENSG00000168393
103,0,0.05188765382051301,0,ENSG00000059573
104,1,0.7472770574971266,0,ENSG00000173599
105,0,0.18111109926750835,0,ENSG00000051382
106,0,0.11407565826443822,0,ENSG00000100075
107,0,0.4035356022829089,1,ENSG00000125166
108,0,0.3827337456010314,0,ENSG00000183048
109,0,0.025556641398997517,0,ENSG00000103064
110,0,0.01915903447811691,0,ENSG00000196517
111,0,0.3650526617710971,0,ENSG00000103257
112,1,0.9685679770322204,1,ENSG00000119523
113,0,0.28534604489498616,0,ENSG00000070669
114,0,0.03356695668900037,0,ENSG00000131389
115,0,0.05334318482973144,0,ENSG00000159322
116,0,0.4805322551122183,1,ENSG00000033011
117,1,0.6185621753976231,1,ENSG00000101290
118,0,0.028801916434180015,0,ENSG00000185813
119,0,0.07682237040368912,0,ENSG00000101558
120,0,0.02066537998037282,0,ENSG00000117592
121,0,0.06411092220894943,0,ENSG00000113504
122,0,0.3087795744279942,0,ENSG00000156471
123,0,0.011745329313746368,0,ENSG00000113273
124,0,0.010619034232536781,0,ENSG00000064601 and ENSG00000141012 and ENSG00000170266 and ENSG00000204386
125,1,0.6353431416086484,1,ENSG00000100412
126,1,0.6862015248722616,0,ENSG00000062485
127,0,0.07045781438424548,0,ENSG00000111726
128,0,0.07356964740474109,0,ENSG00000164414
129,1,0.7040534993362325,1,ENSG00000126088
130,1,0.5616781947303289,1,ENSG00000151012 and ENSG00000168003
131,1,1.0,1,ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848
132,1,0.9647602695519224,1,ENSG00000162368
133,1,0.9088099997969913,1,ENSG00000067225
134,1,0.9207342782804784,1,ENSG00000113456 and ENSG00000172613
135,0,0.19150416984929514,0,ENSG00000173614
136,0,0.04035102691388353,0,ENSG00000125458
137,0,0.0915714707605407,0,ENSG00000100299
138,1,0.9841310141965087,1,ENSG00000143774
139,0,0.22655803432171484,1,ENSG00000109107
140,0,0.034074165437544324,0,ENSG00000132570
141,1,0.6422312363789422,1,ENSG00000176890
142,1,0.8137518869895859,1,ENSG00000178700
143,0,0.4355964170261405,1,ENSG00000119689
144,1,0.9381820257717985,0,ENSG00000152904
145,0,0.04660064385375652,0,ENSG00000067064
146,1,0.5140371101949008,0,ENSG00000115350 and ENSG00000148229
147,1,1.0,1,ENSG00000030066 and ENSG00000047410 and ENSG00000058804 and ENSG00000069248 and ENSG00000075188 and ENSG00000085415 and ENSG00000093000 and ENSG00000094914 and ENSG00000095319 and ENSG00000101146 and ENSG00000102900 and ENSG00000108559 and ENSG00000110713 and ENSG00000111581 and ENSG00000113569 and ENSG00000119392 and ENSG00000120253 and ENSG00000124789 and ENSG00000125450 and ENSG00000126883 and ENSG00000132182 and ENSG00000136243 and ENSG00000138750 and ENSG00000139496 and ENSG00000153201 and ENSG00000153207 and ENSG00000155561 and ENSG00000157020 and ENSG00000157349 and ENSG00000163002 and ENSG00000196313 and ENSG00000213024
148,0,0.14491156885170556,0,ENSG00000120697
149,1,0.5464037234771233,1,ENSG00000175283
150,0,0.16665403369396772,0,ENSG00000086848
151,0,0.01803569643198468,0,ENSG00000060642
152,0,0.0598133507331813,0,ENSG00000182858
153,1,0.6005354519084738,1,ENSG00000000419 and ENSG00000136908 and ENSG00000179085
154,0,0.21341657242372591,0,ENSG00000159063
155,0,0.14752178468539653,0,ENSG00000088035
156,0,0.22154808932916165,0,ENSG00000167130
157,0,0.1310567397786993,0,ENSG00000069943
158,1,0.9999990255986639,1,ENSG00000128951
159,0,0.03737553985178565,0,ENSG00000125877
160,0,0.22879736371540665,1,ENSG00000087111 and ENSG00000101464 and ENSG00000124155 and ENSG00000142892 and ENSG00000197858
161,0,0.35266210481331217,0,ENSG00000138363
162,0,0.0517950340987009,0,ENSG00000147454
163,0,0.09307534643706919,0,ENSG00000173638
164,0,0.1760588419477733,0,ENSG00000197894
165,0,0.43896458227314805,0,ENSG00000105220
166,0,0.22762673837320913,0,ENSG00000091483
167,0,0.04723755725529955,0,ENSG00000071073
168,0,0.4275755996011036,1,ENSG00000253710
169,0,0.15116173107913555,0,ENSG00000176022
170,0,0.07686127921187015,0,ENSG00000027847
171,1,0.9633256343574838,1,ENSG00000111669
172,0,0.10472518247795622,0,ENSG00000008513
173,0,0.02140063591206587,0,ENSG00000104522
174,0,0.03605196850542265,0,ENSG00000181830
175,0,0.209912226864096,0,ENSG00000160211
176,0,0.4744836805495041,0,ENSG00000117394
177,0,0.2988858235488931,0,ENSG00000277161
178,0,0.016769541819503322,0,ENSG00000162688
179,0,0.06667335752408482,0,ENSG00000148154
180,0,0.1774123318086557,0,ENSG00000115652
181,0,0.019509849476057106,0,ENSG00000172890
182,1,0.8424575979687839,1,ENSG00000163655
183,0,0.07597847350341158,0,ENSG00000115419
184,0,0.07893890119821914,0,ENSG00000177542
185,1,0.8159037823955345,1,ENSG00000091140 and ENSG00000105953 and ENSG00000119689
186,0,0.024459051984302937,0,ENSG00000111371
187,0,0.4415760736879604,0,ENSG00000144659
188,1,0.9998192279486039,1,ENSG00000106105
189,0,0.4247365530422294,1,ENSG00000108784
190,0,0.19308981420715443,0,ENSG00000012232
191,0,0.06112215144854541,0,ENSG00000153936
192,0,0.3099615802514212,0,ENSG00000151348 and ENSG00000182197
193,0,0.18676064060313216,0,ENSG00000064763
194,0,0.3798649302547765,1,ENSG00000134294
195,1,0.9988095965529057,1,ENSG00000112972
196,0,0.1500094690515592,0,ENSG00000256269
197,1,0.9996551393399793,1,ENSG00000090861
198,0,0.022250426025182464,0,ENSG00000160285
199,1,0.9509110053726215,1,ENSG00000113643
200,1,0.9831952357364407,1,ENSG00000134440
201,1,0.9941789155322898,1,ENSG00000115866
202,0,0.016160746127137395,0,ENSG00000178537
203,1,0.9996165234911294,1,ENSG00000110619
204,1,0.6821473900948539,1,ENSG00000103257 and ENSG00000168003
205,1,0.9958026396658761,1,ENSG00000172053
206,1,0.9994710172046566,1,ENSG00000136628
207,1,0.9825758120330851,1,ENSG00000170445
