"from"	"to"	"Metabolite"
"196"	"ENSG00000178700"	"ENSG00000169710"	"m1020"
"198"	"ENSG00000178700"	"ENSG00000105398"	"m1020"
"199"	"ENSG00000178700"	"ENSG00000023839"	"m1020"
"200"	"ENSG00000178700"	"ENSG00000103222"	"m1020"
"201"	"ENSG00000178700"	"ENSG00000108846"	"m1020"
"202"	"ENSG00000178700"	"ENSG00000134538"	"m1020"
"210"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000169710"	"m1020"
"212"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000105398"	"m1020"
"213"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000023839"	"m1020"
"214"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000103222"	"m1020"
"215"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000108846"	"m1020"
"216"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000134538"	"m1020"
"217"	"ENSG00000059573"	"ENSG00000169710"	"m1020"
"219"	"ENSG00000059573"	"ENSG00000105398"	"m1020"
"220"	"ENSG00000059573"	"ENSG00000023839"	"m1020"
"221"	"ENSG00000059573"	"ENSG00000103222"	"m1020"
"222"	"ENSG00000059573"	"ENSG00000108846"	"m1020"
"223"	"ENSG00000059573"	"ENSG00000134538"	"m1020"
"231"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000169710"	"m1020"
"233"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000105398"	"m1020"
"234"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000023839"	"m1020"
"235"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000103222"	"m1020"
"236"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000108846"	"m1020"
"237"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000134538"	"m1020"
"252"	"ENSG00000161267"	"ENSG00000169710"	"m1020"
"254"	"ENSG00000161267"	"ENSG00000105398"	"m1020"
"255"	"ENSG00000161267"	"ENSG00000023839"	"m1020"
