"from"	"to"	"Metabolite"
"141"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000105398"	"m1018"
"142"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000134538"	"m1018"
"144"	"ENSG00000138413"	"ENSG00000169710"	"m1018"
"145"	"ENSG00000138413"	"ENSG00000023839"	"m1018"
"146"	"ENSG00000138413"	"ENSG00000103222"	"m1018"
"147"	"ENSG00000138413"	"ENSG00000108846"	"m1018"
"148"	"ENSG00000138413"	"ENSG00000105398"	"m1018"
"149"	"ENSG00000138413"	"ENSG00000134538"	"m1018"
"151"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000169710"	"m1018"
"152"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000023839"	"m1018"
"153"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000103222"	"m1018"
"154"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000108846"	"m1018"
"155"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000105398"	"m1018"
"156"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000134538"	"m1018"
"158"	"ENSG00000113161"	"ENSG00000169710"	"m1018"
"159"	"ENSG00000113161"	"ENSG00000023839"	"m1018"
"160"	"ENSG00000113161"	"ENSG00000103222"	"m1018"
"161"	"ENSG00000113161"	"ENSG00000108846"	"m1018"
"162"	"ENSG00000113161"	"ENSG00000105398"	"m1018"
"163"	"ENSG00000113161"	"ENSG00000134538"	"m1018"
"172"	"ENSG00000100714"	"ENSG00000169710"	"m1018"
"173"	"ENSG00000100714"	"ENSG00000023839"	"m1018"
"174"	"ENSG00000100714"	"ENSG00000103222"	"m1018"
"175"	"ENSG00000100714"	"ENSG00000108846"	"m1018"
"176"	"ENSG00000100714"	"ENSG00000105398"	"m1018"
"177"	"ENSG00000100714"	"ENSG00000134538"	"m1018"
"179"	"ENSG00000059573"	"ENSG00000169710"	"m1018"
"180"	"ENSG00000059573"	"ENSG00000023839"	"m1018"
"181"	"ENSG00000059573"	"ENSG00000103222"	"m1018"
"182"	"ENSG00000059573"	"ENSG00000108846"	"m1018"
"183"	"ENSG00000059573"	"ENSG00000105398"	"m1018"
"184"	"ENSG00000059573"	"ENSG00000134538"	"m1018"
"193"	"ENSG00000161267"	"ENSG00000169710"	"m1018"
"194"	"ENSG00000161267"	"ENSG00000023839"	"m1018"
"195"	"ENSG00000161267"	"ENSG00000103222"	"m1018"
"196"	"ENSG00000161267"	"ENSG00000108846"	"m1018"
"197"	"ENSG00000161267"	"ENSG00000105398"	"m1018"
"198"	"ENSG00000161267"	"ENSG00000134538"	"m1018"
"200"	"ENSG00000178700"	"ENSG00000169710"	"m1018"
"201"	"ENSG00000178700"	"ENSG00000023839"	"m1018"
"202"	"ENSG00000178700"	"ENSG00000103222"	"m1018"
"203"	"ENSG00000178700"	"ENSG00000108846"	"m1018"
"204"	"ENSG00000178700"	"ENSG00000105398"	"m1018"
"205"	"ENSG00000178700"	"ENSG00000134538"	"m1018"
"207"	"ENSG00000072210"	"ENSG00000169710"	"m1018"
"208"	"ENSG00000072210"	"ENSG00000023839"	"m1018"
"209"	"ENSG00000072210"	"ENSG00000103222"	"m1018"
"210"	"ENSG00000072210"	"ENSG00000108846"	"m1018"
"211"	"ENSG00000072210"	"ENSG00000105398"	"m1018"
"212"	"ENSG00000072210"	"ENSG00000134538"	"m1018"
"228"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000169710"	"m1018"
"229"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000023839"	"m1018"
"230"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000103222"	"m1018"
"231"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000108846"	"m1018"
"232"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000105398"	"m1018"
"233"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000134538"	"m1018"
"255"	"ENSG00000157353"	"ENSG00000169710"	"m1019"
"263"	"ENSG00000162066"	"ENSG00000169710"	"m1019"
"271"	"ENSG00000196177"	"ENSG00000169710"	"m1019"
"295"	"ENSG00000100116"	"ENSG00000169710"	"m1019"
"303"	"ENSG00000176974"	"ENSG00000169710"	"m1019"
"311"	"ENSG00000147119"	"ENSG00000169710"	"m1019"
"319"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000169710"	"m1019"
"327"	"ENSG00000153574"	"ENSG00000169710"	"m1019"
"343"	"ENSG00000104522"	"ENSG00000169710"	"m1019"
"351"	"ENSG00000117054"	"ENSG00000169710"	"m1019"
