"from"	"to"	"Metabolite"
"176"	"ENSG00000076685"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"m1008"
"178"	"ENSG00000076685"	"ENSG00000104808"	"m1008"
"179"	"ENSG00000076685"	"ENSG00000151632"	"m1008"
"180"	"ENSG00000076685"	"ENSG00000187134"	"m1008"
"181"	"ENSG00000076685"	"ENSG00000196139"	"m1008"
"182"	"ENSG00000076685"	"ENSG00000198610"	"m1008"
"183"	"ENSG00000076685"	"ENSG00000134538"	"m1008"
"185"	"ENSG00000076685"	"ENSG00000033100"	"m1008"
"186"	"ENSG00000076685"	"ENSG00000123989"	"m1008"
"187"	"ENSG00000076685"	"ENSG00000131873"	"m1008"
"188"	"ENSG00000076685"	"ENSG00000198108"	"m1008"
"189"	"ENSG00000076685"	"ENSG00000128951"	"m1008"
"190"	"ENSG00000076685"	"ENSG00000111817"	"m1008"
"192"	"ENSG00000076685"	"ENSG00000006534"	"m1008"
"193"	"ENSG00000076685"	"ENSG00000108602"	"m1008"
"194"	"ENSG00000076685"	"ENSG00000132746"	"m1008"
"195"	"ENSG00000076685"	"ENSG00000184254"	"m1008"
"196"	"ENSG00000076685"	"ENSG00000036565"	"m1008"
"197"	"ENSG00000076685"	"ENSG00000165646"	"m1008"
"198"	"ENSG00000076685"	"ENSG00000113273"	"m1008"
"199"	"ENSG00000076685"	"ENSG00000002726"	"m1008"
"200"	"ENSG00000076685"	"ENSG00000131471"	"m1008"
"201"	"ENSG00000076685"	"ENSG00000131480"	"m1008"
"203"	"ENSG00000110090"	"ENSG00000171298"	"m1008"
"204"	"ENSG00000110090"	"ENSG00000111962"	"m1008"
"205"	"ENSG00000110090"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"m1008"
"207"	"ENSG00000110090"	"ENSG00000104808"	"m1008"
"208"	"ENSG00000110090"	"ENSG00000151632"	"m1008"
"209"	"ENSG00000110090"	"ENSG00000187134"	"m1008"
"210"	"ENSG00000110090"	"ENSG00000196139"	"m1008"
"211"	"ENSG00000110090"	"ENSG00000198610"	"m1008"
"212"	"ENSG00000110090"	"ENSG00000134538"	"m1008"
"214"	"ENSG00000110090"	"ENSG00000033100"	"m1008"
"215"	"ENSG00000110090"	"ENSG00000123989"	"m1008"
"216"	"ENSG00000110090"	"ENSG00000131873"	"m1008"
"217"	"ENSG00000110090"	"ENSG00000198108"	"m1008"
"218"	"ENSG00000110090"	"ENSG00000128951"	"m1008"
"219"	"ENSG00000110090"	"ENSG00000111817"	"m1008"
"221"	"ENSG00000110090"	"ENSG00000006534"	"m1008"
"222"	"ENSG00000110090"	"ENSG00000108602"	"m1008"
"223"	"ENSG00000110090"	"ENSG00000132746"	"m1008"
"224"	"ENSG00000110090"	"ENSG00000184254"	"m1008"
"225"	"ENSG00000110090"	"ENSG00000036565"	"m1008"
"226"	"ENSG00000110090"	"ENSG00000165646"	"m1008"
"227"	"ENSG00000110090"	"ENSG00000113273"	"m1008"
"228"	"ENSG00000110090"	"ENSG00000002726"	"m1008"
"229"	"ENSG00000110090"	"ENSG00000131471"	"m1008"
"230"	"ENSG00000110090"	"ENSG00000131480"	"m1008"
"261"	"ENSG00000134538"	"ENSG00000197375"	"m1009"
"262"	"ENSG00000134538"	"ENSG00000060971"	"m1009"
"263"	"ENSG00000134538"	"ENSG00000072506"	"m1009"
"264"	"ENSG00000134538"	"ENSG00000084754"	"m1009"
"265"	"ENSG00000134538"	"ENSG00000087008"	"m1009"
"266"	"ENSG00000134538"	"ENSG00000097021"	"m1009"
"267"	"ENSG00000134538"	"ENSG00000101473"	"m1009"
"268"	"ENSG00000134538"	"ENSG00000119673"	"m1009"
"269"	"ENSG00000134538"	"ENSG00000127884"	"m1009"
"270"	"ENSG00000134538"	"ENSG00000130304"	"m1009"
"271"	"ENSG00000134538"	"ENSG00000133835"	"m1009"
"272"	"ENSG00000134538"	"ENSG00000136881"	"m1009"
"273"	"ENSG00000134538"	"ENSG00000138029"	"m1009"
"274"	"ENSG00000134538"	"ENSG00000138796"	"m1009"
"275"	"ENSG00000134538"	"ENSG00000140284"	"m1009"
"276"	"ENSG00000134538"	"ENSG00000143554"	"m1009"
"277"	"ENSG00000134538"	"ENSG00000157426"	"m1009"
"278"	"ENSG00000134538"	"ENSG00000161533"	"m1009"
"279"	"ENSG00000134538"	"ENSG00000167107"	"m1009"
"280"	"ENSG00000134538"	"ENSG00000167114"	"m1009"
"281"	"ENSG00000134538"	"ENSG00000167315"	"m1009"
"282"	"ENSG00000134538"	"ENSG00000176715"	"m1009"
"283"	"ENSG00000134538"	"ENSG00000177465"	"m1009"
"284"	"ENSG00000134538"	"ENSG00000184227"	"m1009"
"285"	"ENSG00000134538"	"ENSG00000242110"	"m1009"
"294"	"ENSG00000161267"	"ENSG00000134538"	"m1010"
"295"	"ENSG00000161267"	"ENSG00000023839"	"m1010"
"296"	"ENSG00000161267"	"ENSG00000103222"	"m1010"
"297"	"ENSG00000161267"	"ENSG00000108846"	"m1010"
"298"	"ENSG00000161267"	"ENSG00000105398"	"m1010"
"299"	"ENSG00000161267"	"ENSG00000169710"	"m1010"
"308"	"ENSG00000113161"	"ENSG00000134538"	"m1010"
"309"	"ENSG00000113161"	"ENSG00000023839"	"m1010"
"310"	"ENSG00000113161"	"ENSG00000103222"	"m1010"
"311"	"ENSG00000113161"	"ENSG00000108846"	"m1010"
"312"	"ENSG00000113161"	"ENSG00000105398"	"m1010"
"313"	"ENSG00000113161"	"ENSG00000169710"	"m1010"
"315"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000134538"	"m1010"
"316"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000023839"	"m1010"
"317"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000103222"	"m1010"
"318"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000108846"	"m1010"
"319"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000105398"	"m1010"
