"from"	"to"	"Metabolite"
"429"	"ENSG00000162365"	"ENSG00000197838"	"m1076"
"430"	"ENSG00000162365"	"ENSG00000198077"	"m1076"
"431"	"ENSG00000162365"	"ENSG00000255974"	"m1076"
"437"	"ENSG00000169710"	"ENSG00000149742"	"m1080"
"438"	"ENSG00000169710"	"ENSG00000175003"	"m1080"
"439"	"ENSG00000169710"	"ENSG00000178537"	"m1080"
"440"	"ENSG00000169710"	"ENSG00000197119"	"m1080"
"441"	"ENSG00000169710"	"ENSG00000197208"	"m1080"
"442"	"ENSG00000152463"	"ENSG00000149742"	"m1080"
"443"	"ENSG00000152463"	"ENSG00000175003"	"m1080"
"444"	"ENSG00000152463"	"ENSG00000178537"	"m1080"
"445"	"ENSG00000152463"	"ENSG00000197119"	"m1080"
"446"	"ENSG00000152463"	"ENSG00000197208"	"m1080"
"447"	"ENSG00000155380"	"ENSG00000111144"	"m1085"
"448"	"ENSG00000155380"	"ENSG00000176393"	"m1085"
"449"	"ENSG00000155380"	"ENSG00000120915"	"m1085"
"450"	"ENSG00000155380"	"ENSG00000143819"	"m1085"
"451"	"ENSG00000083807"	"ENSG00000165841"	"m1088"
"452"	"ENSG00000083807"	"ENSG00000115866"	"m1088"
"453"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000083807"	"m1096"
"454"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000140284"	"m1096"
"455"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000068903"	"m1096"
"456"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000077463"	"m1096"
"457"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000078124"	"m1096"
"458"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000096717"	"m1096"
"459"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000124523"	"m1096"
"460"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000124596"	"m1096"
"461"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000132744"	"m1096"
"462"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000133315"	"m1096"
"463"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000138744"	"m1096"
"464"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000142082"	"m1096"
"465"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000156795"	"m1096"
"466"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000157045"	"m1096"
"467"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000172264"	"m1096"
"468"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000187531"	"m1096"
"469"	"ENSG00000068903"	"ENSG00000072778"	"m1097"
"470"	"ENSG00000068903"	"ENSG00000115361"	"m1097"
"471"	"ENSG00000068903"	"ENSG00000117054"	"m1097"
"472"	"ENSG00000068903"	"ENSG00000177646"	"m1097"
"473"	"ENSG00000134538"	"ENSG00000071073"	"m1100"
"474"	"ENSG00000134538"	"ENSG00000161013"	"m1100"
