"from"	"to"	"Metabolite"
"5738"	"ENSG00000140505"	"ENSG00000131471"	"m1036"
"5739"	"ENSG00000140505"	"ENSG00000131480"	"m1036"
"5740"	"ENSG00000140505"	"ENSG00000036565"	"m1036"
"5741"	"ENSG00000140505"	"ENSG00000165646"	"m1036"
"5742"	"ENSG00000134538"	"ENSG00000197375"	"m1037"
"5743"	"ENSG00000134538"	"ENSG00000060971"	"m1037"
"5744"	"ENSG00000134538"	"ENSG00000072506"	"m1037"
"5745"	"ENSG00000134538"	"ENSG00000084754"	"m1037"
"5746"	"ENSG00000134538"	"ENSG00000087008"	"m1037"
"5747"	"ENSG00000134538"	"ENSG00000097021"	"m1037"
"5748"	"ENSG00000134538"	"ENSG00000101473"	"m1037"
"5749"	"ENSG00000134538"	"ENSG00000119673"	"m1037"
"5750"	"ENSG00000134538"	"ENSG00000127884"	"m1037"
"5751"	"ENSG00000134538"	"ENSG00000130304"	"m1037"
"5752"	"ENSG00000134538"	"ENSG00000133835"	"m1037"
"5753"	"ENSG00000134538"	"ENSG00000136881"	"m1037"
"5754"	"ENSG00000134538"	"ENSG00000138029"	"m1037"
"5755"	"ENSG00000134538"	"ENSG00000138796"	"m1037"
"5757"	"ENSG00000134538"	"ENSG00000143554"	"m1037"
"5758"	"ENSG00000134538"	"ENSG00000157426"	"m1037"
"5759"	"ENSG00000134538"	"ENSG00000161533"	"m1037"
"5760"	"ENSG00000134538"	"ENSG00000167107"	"m1037"
"5761"	"ENSG00000134538"	"ENSG00000167114"	"m1037"
"5762"	"ENSG00000134538"	"ENSG00000167315"	"m1037"
"5763"	"ENSG00000134538"	"ENSG00000176715"	"m1037"
"5764"	"ENSG00000134538"	"ENSG00000177465"	"m1037"
"5765"	"ENSG00000134538"	"ENSG00000184227"	"m1037"
"5766"	"ENSG00000134538"	"ENSG00000242110"	"m1037"
"5774"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000169710"	"m1038"
"5775"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000023839"	"m1038"
"5776"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000103222"	"m1038"
"5777"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000108846"	"m1038"
"5779"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000134538"	"m1038"
"5780"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000105398"	"m1038"
"5781"	"ENSG00000100714"	"ENSG00000169710"	"m1038"
"5782"	"ENSG00000100714"	"ENSG00000023839"	"m1038"
"5783"	"ENSG00000100714"	"ENSG00000103222"	"m1038"
"5784"	"ENSG00000100714"	"ENSG00000108846"	"m1038"
"5786"	"ENSG00000100714"	"ENSG00000134538"	"m1038"
"5787"	"ENSG00000100714"	"ENSG00000105398"	"m1038"
"5788"	"ENSG00000113161"	"ENSG00000169710"	"m1038"
"5789"	"ENSG00000113161"	"ENSG00000023839"	"m1038"
"5790"	"ENSG00000113161"	"ENSG00000103222"	"m1038"
"5791"	"ENSG00000113161"	"ENSG00000108846"	"m1038"
"5793"	"ENSG00000113161"	"ENSG00000134538"	"m1038"
"5794"	"ENSG00000113161"	"ENSG00000105398"	"m1038"
"5795"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000169710"	"m1038"
"5796"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000023839"	"m1038"
"5797"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000103222"	"m1038"
"5798"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000108846"	"m1038"
"5800"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000134538"	"m1038"
"5801"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000105398"	"m1038"
"5802"	"ENSG00000138413"	"ENSG00000169710"	"m1038"
"5803"	"ENSG00000138413"	"ENSG00000023839"	"m1038"
"5804"	"ENSG00000138413"	"ENSG00000103222"	"m1038"
"5805"	"ENSG00000138413"	"ENSG00000108846"	"m1038"
"5808"	"ENSG00000138413"	"ENSG00000105398"	"m1038"
"5816"	"ENSG00000072210"	"ENSG00000169710"	"m1038"
"5817"	"ENSG00000072210"	"ENSG00000023839"	"m1038"
"5818"	"ENSG00000072210"	"ENSG00000103222"	"m1038"
"5819"	"ENSG00000072210"	"ENSG00000108846"	"m1038"
"5821"	"ENSG00000072210"	"ENSG00000134538"	"m1038"
"5822"	"ENSG00000072210"	"ENSG00000105398"	"m1038"
"5830"	"ENSG00000178700"	"ENSG00000169710"	"m1038"
"5831"	"ENSG00000178700"	"ENSG00000023839"	"m1038"
"5832"	"ENSG00000178700"	"ENSG00000103222"	"m1038"
"5833"	"ENSG00000178700"	"ENSG00000108846"	"m1038"
"5835"	"ENSG00000178700"	"ENSG00000134538"	"m1038"
"5836"	"ENSG00000178700"	"ENSG00000105398"	"m1038"
"5844"	"ENSG00000059573"	"ENSG00000169710"	"m1038"
"5845"	"ENSG00000059573"	"ENSG00000023839"	"m1038"
"5846"	"ENSG00000059573"	"ENSG00000103222"	"m1038"
"5847"	"ENSG00000059573"	"ENSG00000108846"	"m1038"
"5849"	"ENSG00000059573"	"ENSG00000134538"	"m1038"
"5850"	"ENSG00000059573"	"ENSG00000105398"	"m1038"
"5851"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000169710"	"m1038"
"5852"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000023839"	"m1038"
"5853"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000103222"	"m1038"
"5854"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000108846"	"m1038"
"5856"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000134538"	"m1038"
"5857"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000105398"	"m1038"
"5865"	"ENSG00000161267"	"ENSG00000169710"	"m1038"
