"from"	"to"	"Metabolite"
"28512"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000133835"	"m1117"
"28513"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000136881"	"m1117"
"28514"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000138029"	"m1117"
"28515"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000138796"	"m1117"
"28517"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000143554"	"m1117"
"28518"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000157426"	"m1117"
"28519"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000161533"	"m1117"
"28520"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000167107"	"m1117"
"28521"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000167114"	"m1117"
"28522"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000167315"	"m1117"
"28523"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000176715"	"m1117"
"28524"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000177465"	"m1117"
"28525"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000184227"	"m1117"
"28526"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000242110"	"m1117"
"28527"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000006534"	"m1117"
"28528"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000108602"	"m1117"
"28529"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000132746"	"m1117"
"28530"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000184254"	"m1117"
"28531"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000171298"	"m1117"
"28533"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000002726"	"m1117"
"28534"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000131471"	"m1117"
"28535"	"ENSG00000084453 and ENSG00000111700"	"ENSG00000131480"	"m1117"
"28536"	"ENSG00000006534"	"ENSG00000033100"	"m1117"
"28537"	"ENSG00000006534"	"ENSG00000123989"	"m1117"
"28538"	"ENSG00000006534"	"ENSG00000131873"	"m1117"
"28539"	"ENSG00000006534"	"ENSG00000198108"	"m1117"
"28542"	"ENSG00000006534"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"m1117"
"28543"	"ENSG00000006534"	"ENSG00000113273"	"m1117"
"28544"	"ENSG00000006534"	"ENSG00000111817"	"m1117"
"28545"	"ENSG00000006534"	"ENSG00000111962"	"m1117"
"28547"	"ENSG00000006534"	"ENSG00000104808"	"m1117"
"28548"	"ENSG00000006534"	"ENSG00000151632"	"m1117"
"28549"	"ENSG00000006534"	"ENSG00000187134"	"m1117"
"28550"	"ENSG00000006534"	"ENSG00000196139"	"m1117"
"28551"	"ENSG00000006534"	"ENSG00000198610"	"m1117"
"28552"	"ENSG00000006534"	"ENSG00000060971"	"m1117"
"28553"	"ENSG00000006534"	"ENSG00000072506"	"m1117"
"28554"	"ENSG00000006534"	"ENSG00000084754"	"m1117"
"28555"	"ENSG00000006534"	"ENSG00000087008"	"m1117"
"28556"	"ENSG00000006534"	"ENSG00000097021"	"m1117"
"28557"	"ENSG00000006534"	"ENSG00000101473"	"m1117"
"28558"	"ENSG00000006534"	"ENSG00000119673"	"m1117"
